id,title,description,title_description,subjects,manual_label,by_subjects_count,by_title_desc_count,by_all_count,by_subjects_count_weight,by_title_desc_count_weight,by_all_count_weight,by_subjects_wmd,by_title_desc_wmd,by_all_wmd
14001,Code Injection Attacks on HTML5-based Mobile Apps,"  HTML5-based mobile apps become more and more popular, mostly because they are
much easier to be ported across different mobile platforms than native apps.
HTML5-based apps are implemented using the standard web technologies, including
HTML5, JavaScript and CSS; they depend on some middlewares, such as PhoneGap,
to interact with the underlying OS.
  Knowing that JavaScript is subject to code injection attacks, we have
conducted a systematic study on HTML5-based mobile apps, trying to evaluate
whether it is safe to rely on the web technologies for mobile app development.
Our discoveries are quite surprising. We found out that if HTML5-based mobile
apps become popular--it seems to go that direction based on the current
projection--many of the things that we normally do today may become dangerous,
including reading from 2D barcodes, scanning Wi-Fi access points, playing MP4
videos, pairing with Bluetooth devices, etc. This paper describes how
HTML5-based apps can become vulnerable, how attackers can exploit their
vulnerabilities through a variety of channels, and what damage can be achieved
by the attackers. In addition to demonstrating the attacks through example
apps, we have studied 186 PhoneGap plugins, used by apps to achieve a variety
of functionalities, and we found that 11 are vulnerable. We also found two real
HTML5-based apps that are vulnerable to the attacks.
","Code Injection Attacks on HTML5-based Mobile Apps   HTML5-based mobile apps become more and more popular, mostly because they are
much easier to be ported across different mobile platforms than native apps.
HTML5-based apps are implemented using the standard web technologies, including
HTML5, JavaScript and CSS; they depend on some middlewares, such as PhoneGap,
to interact with the underlying OS.
  Knowing that JavaScript is subject to code injection attacks, we have
conducted a systematic study on HTML5-based mobile apps, trying to evaluate
whether it is safe to rely on the web technologies for mobile app development.
Our discoveries are quite surprising. We found out that if HTML5-based mobile
apps become popular--it seems to go that direction based on the current
projection--many of the things that we normally do today may become dangerous,
including reading from 2D barcodes, scanning Wi-Fi access points, playing MP4
videos, pairing with Bluetooth devices, etc. This paper describes how
HTML5-based apps can become vulnerable, how attackers can exploit their
vulnerabilities through a variety of channels, and what damage can be achieved
by the attackers. In addition to demonstrating the attacks through example
apps, we have studied 186 PhoneGap plugins, used by apps to achieve a variety
of functionalities, and we found that 11 are vulnerable. We also found two real
HTML5-based apps that are vulnerable to the attacks.
",[u'computer science - cryptography and security'],2092,2092,991,991,8912,8912,8912,8600,7626,7626
14003,"On the origin of the narrow peak and the isospin symmetry breaking of
  the $X$(3872)","  The $X$(3872) formation and decay processes in the $B$-decay are investigated
by a $c\bar c$-two-meson hybrid model. The two-meson state consists of the
$D^0{\bar D}^*{}^0$, $D^+D^{*-}$, $J/\psi\rho$, and $J/\psi\omega$ channels.
The energy-dependent decay widths of the $\rho$ and $\omega$ mesons are
introduced. The $D$-${\bar D}^*$ interaction is taken to be consistent with a
lack of the $B{\bar B}^*$ bound state. The coupling between the $D{\bar D}^*$
and $J/\psi\rho$ or the $D{\bar D}^*$ and $J/\psi\omega$ channels is obtained
from a quark model. The $c{\bar c}$-$D{\bar D}^*$ coupling is taken as a
parameter to fit the $X$(3872) mass. The spectrum is calculated up to 4 GeV.
  It is found that very narrow $J/\psi\rho$ and $J/\psi\omega$ peaks appear
around the $D^0{\bar D}^*{}^0$ threshold. The size of the $J/\psi\pi^3$ peak we
calculated is 1.29-2.38 times as large as that of the $J/\psi\pi^2$. The
isospin symmetry breaking in the present model comes from the mass difference
of the charged and neutral $D$ and $D^*$ mesons, which gives a sufficiently
large isospin mixing to explain the experiments. It is also found that values
of the ratios of the transfer strengths can give the information on the
$X$(3872) mass or the size of the $c{\bar c}$-$D{\bar D}^*$ coupling.
","On the origin of the narrow peak and the isospin symmetry breaking of
  the $X$(3872)   The $X$(3872) formation and decay processes in the $B$-decay are investigated
by a $c\bar c$-two-meson hybrid model. The two-meson state consists of the
$D^0{\bar D}^*{}^0$, $D^+D^{*-}$, $J/\psi\rho$, and $J/\psi\omega$ channels.
The energy-dependent decay widths of the $\rho$ and $\omega$ mesons are
introduced. The $D$-${\bar D}^*$ interaction is taken to be consistent with a
lack of the $B{\bar B}^*$ bound state. The coupling between the $D{\bar D}^*$
and $J/\psi\rho$ or the $D{\bar D}^*$ and $J/\psi\omega$ channels is obtained
from a quark model. The $c{\bar c}$-$D{\bar D}^*$ coupling is taken as a
parameter to fit the $X$(3872) mass. The spectrum is calculated up to 4 GeV.
  It is found that very narrow $J/\psi\rho$ and $J/\psi\omega$ peaks appear
around the $D^0{\bar D}^*{}^0$ threshold. The size of the $J/\psi\pi^3$ peak we
calculated is 1.29-2.38 times as large as that of the $J/\psi\pi^2$. The
isospin symmetry breaking in the present model comes from the mass difference
of the charged and neutral $D$ and $D^*$ mesons, which gives a sufficiently
large isospin mixing to explain the experiments. It is also found that values
of the ratios of the transfer strengths can give the information on the
$X$(3872) mass or the size of the $c{\bar c}$-$D{\bar D}^*$ coupling.
",[u'high energy physics - phenomenology'],7626,7626,7626,7626,7626,7626,7626,7626,7626,7626
14004,Tolerances induced by irredundant coverings,"  In this paper, we consider tolerances induced by irredundant coverings. Each
tolerance $R$ on $U$ determines a quasiorder $\lesssim_R$ by setting $x
\lesssim_R y$ if and only if $R(x) \subseteq R(y)$. We prove that for a
tolerance $R$ induced by a covering $\mathcal{H}$ of $U$, the covering
$\mathcal{H}$ is irredundant if and only if the quasiordered set $(U,
\lesssim_R)$ is bounded by minimal elements and the tolerance $R$ coincides
with the product ${\gtrsim_R} \circ {\lesssim_R}$. We also show that in such a
case $\mathcal{H} = \{ {\uparrow}m \mid \text{$m$ is minimal in
$(U,\lesssim_R)$} \}$, and for each minimal $m$, we have $R(m) = {\uparrow} m$.
Additionally, this irredundant covering $\mathcal{H}$ inducing $R$ consists of
some blocks of the tolerance $R$. We give necessary and sufficient conditions
under which $\mathcal{H}$ and the set of $R$-blocks coincide. These results are
established by applying the notion of Helly numbers of quasiordered sets.
","Tolerances induced by irredundant coverings   In this paper, we consider tolerances induced by irredundant coverings. Each
tolerance $R$ on $U$ determines a quasiorder $\lesssim_R$ by setting $x
\lesssim_R y$ if and only if $R(x) \subseteq R(y)$. We prove that for a
tolerance $R$ induced by a covering $\mathcal{H}$ of $U$, the covering
$\mathcal{H}$ is irredundant if and only if the quasiordered set $(U,
\lesssim_R)$ is bounded by minimal elements and the tolerance $R$ coincides
with the product ${\gtrsim_R} \circ {\lesssim_R}$. We also show that in such a
case $\mathcal{H} = \{ {\uparrow}m \mid \text{$m$ is minimal in
$(U,\lesssim_R)$} \}$, and for each minimal $m$, we have $R(m) = {\uparrow} m$.
Additionally, this irredundant covering $\mathcal{H}$ inducing $R$ consists of
some blocks of the tolerance $R$. We give necessary and sufficient conditions
under which $\mathcal{H}$ and the set of $R$-blocks coincide. These results are
established by applying the notion of Helly numbers of quasiordered sets.
","[u'mathematics - rings and algebras', u'computer science - discrete mathematics', u'68t37', u'05c69 (primary)', u'06b23 (secondary)', u'03e20']",7626,7626,5930,5930,8912,2092,8912,5930,5930,5930
14005,It\^{o} isomorphisms for $L^{p}$-valued Poisson stochastic integrals,"  Motivated by the study of existence, uniqueness and regularity of solutions
to stochastic partial differential equations driven by jump noise, we prove
It\^{o} isomorphisms for $L^p$-valued stochastic integrals with respect to a
compensated Poisson random measure. The principal ingredients for the proof are
novel Rosenthal type inequalities for independent random variables taking
values in a (noncommutative) $L^p$-space, which may be of independent interest.
As a by-product of our proof, we observe some moment estimates for the operator
norm of a sum of independent random matrices.
","It\^{o} isomorphisms for $L^{p}$-valued Poisson stochastic integrals   Motivated by the study of existence, uniqueness and regularity of solutions
to stochastic partial differential equations driven by jump noise, we prove
It\^{o} isomorphisms for $L^p$-valued stochastic integrals with respect to a
compensated Poisson random measure. The principal ingredients for the proof are
novel Rosenthal type inequalities for independent random variables taking
values in a (noncommutative) $L^p$-space, which may be of independent interest.
As a by-product of our proof, we observe some moment estimates for the operator
norm of a sum of independent random matrices.
","[u'mathematics - functional analysis', u'mathematics - probability']",7626,7626,7626,7626,8600,7626,8600,7626,5930,5930
14006,XMM-Newton RGS observations of the Cat's Eye Nebula,"  We present an analysis of XMM-Newton Reflection Grating Spectrometer (RGS)
observations of the planetary nebula (PN) NGC 6543, rendering it the second PN
with high resolution X-ray spectroscopic observations besides BD+30 3639. The
observations consist of 26 pointings, of which 14 included RGS observations for
a total integration time of 435 ks. Many of these observations, however, were
severely affected by high-background levels, and the net useful exposure time
is drastically reduced to 25 ks. Only the O VII triplet at 22 \AA\ is
unambiguously detected in the RGS spectrum of NGC 6543. We find this spectrum
consistent with an optically thin plasma at 0.147 keV (1.7 MK) and nebular
abundances. Unlike the case of BD+30 3639, the X-ray emission from NGC 6543
does not reveal overabundances of C and Ne. The results suggest the N/O ratio
of the hot plasma is consistent with that of the stellar wind, i.e., lower than
the nebular N/O ratio, but this result is not conclusive.
","XMM-Newton RGS observations of the Cat's Eye Nebula   We present an analysis of XMM-Newton Reflection Grating Spectrometer (RGS)
observations of the planetary nebula (PN) NGC 6543, rendering it the second PN
with high resolution X-ray spectroscopic observations besides BD+30 3639. The
observations consist of 26 pointings, of which 14 included RGS observations for
a total integration time of 435 ks. Many of these observations, however, were
severely affected by high-background levels, and the net useful exposure time
is drastically reduced to 25 ks. Only the O VII triplet at 22 \AA\ is
unambiguously detected in the RGS spectrum of NGC 6543. We find this spectrum
consistent with an optically thin plasma at 0.147 keV (1.7 MK) and nebular
abundances. Unlike the case of BD+30 3639, the X-ray emission from NGC 6543
does not reveal overabundances of C and Ne. The results suggest the N/O ratio
of the hot plasma is consistent with that of the stellar wind, i.e., lower than
the nebular N/O ratio, but this result is not conclusive.
",[u'astrophysics - solar and stellar astrophysics'],7626,7626,7626,7626,7626,8600,8600,2092,2092,2092
14007,Resonant Landau-Zener transitions in helical magnetic fields,"  The spin-dependent electron transport has been studied in magnetic
semiconductor waveguides (nanowires) in the helical magnetic field. We have
shown that -- apart from the known conductance dip located at the magnetic
field equal to the helical-field amplitude $B_h$ -- the additional conductance
dips (with zero conductance) appear at magnetic field different from $B_h$.
This effect occuring in the non-adiabatic regime is explained as resulting from
the resonant Landau-Zener transitions between the spin-splitted subbands.
","Resonant Landau-Zener transitions in helical magnetic fields   The spin-dependent electron transport has been studied in magnetic
semiconductor waveguides (nanowires) in the helical magnetic field. We have
shown that -- apart from the known conductance dip located at the magnetic
field equal to the helical-field amplitude $B_h$ -- the additional conductance
dips (with zero conductance) appear at magnetic field different from $B_h$.
This effect occuring in the non-adiabatic regime is explained as resulting from
the resonant Landau-Zener transitions between the spin-splitted subbands.
",[u'condensed matter - mesoscale and nanoscale physics'],7626,7626,7626,7626,7626,8600,7626,7626,2092,2092
14008,WFIRST Ultra-Precise Astrometry II: Asteroseismology,"  WFIRST microlensing observations will return high-precision parallaxes,
sigma(pi) < 0.3 microarcsec, for the roughly 1 million stars with H<14 in its
2.8 deg^2 field toward the Galactic bulge. Combined with its 40,000 epochs of
high precision photometry (~0.7 mmag at H_vega=14 and ~0.1 mmag at H=8), this
will yield a wealth of asteroseismic data of giant stars, primarily in the
Galactic bulge but including a substantial fraction of disk stars at all
Galactocentric radii interior to the Sun. For brighter stars, the astrometric
data will yield an external check on the radii derived from the two
asteroseismic parameters, <Delta nu> and nu_max, while for the fainter ones, it
will enable a mass measurement from the single measurable asteroseismic
parameter nu_max. Simulations based on Kepler data indicate that WFIRST will be
capable of detecting oscillations in stars from slightly less luminous than the
red clump to the tip of the red giant branch, yielding roughly 1 million
detections.
","WFIRST Ultra-Precise Astrometry II: Asteroseismology   WFIRST microlensing observations will return high-precision parallaxes,
sigma(pi) < 0.3 microarcsec, for the roughly 1 million stars with H<14 in its
2.8 deg^2 field toward the Galactic bulge. Combined with its 40,000 epochs of
high precision photometry (~0.7 mmag at H_vega=14 and ~0.1 mmag at H=8), this
will yield a wealth of asteroseismic data of giant stars, primarily in the
Galactic bulge but including a substantial fraction of disk stars at all
Galactocentric radii interior to the Sun. For brighter stars, the astrometric
data will yield an external check on the radii derived from the two
asteroseismic parameters, <Delta nu> and nu_max, while for the fainter ones, it
will enable a mass measurement from the single measurable asteroseismic
parameter nu_max. Simulations based on Kepler data indicate that WFIRST will be
capable of detecting oscillations in stars from slightly less luminous than the
red clump to the tip of the red giant branch, yielding roughly 1 million
detections.
",[u'astrophysics - solar and stellar astrophysics'],7626,7626,991,991,7626,2092,2092,2092,7626,7626
14009,"Super-resolution method using sparse regularization for point-spread
  function recovery","  In large-scale spatial surveys, such as the forthcoming ESA Euclid mission,
images may be undersampled due to the optical sensors sizes. Therefore, one may
consider using a super-resolution (SR) method to recover aliased frequencies,
prior to further analysis. This is particularly relevant for point-source
images, which provide direct measurements of the instrument point-spread
function (PSF). We introduce SPRITE, SParse Recovery of InsTrumental rEsponse,
which is an SR algorithm using a sparse analysis prior. We show that such a
prior provides significant improvements over existing methods, especially on
low SNR PSFs.
","Super-resolution method using sparse regularization for point-spread
  function recovery   In large-scale spatial surveys, such as the forthcoming ESA Euclid mission,
images may be undersampled due to the optical sensors sizes. Therefore, one may
consider using a super-resolution (SR) method to recover aliased frequencies,
prior to further analysis. This is particularly relevant for point-source
images, which provide direct measurements of the instrument point-spread
function (PSF). We introduce SPRITE, SParse Recovery of InsTrumental rEsponse,
which is an SR algorithm using a sparse analysis prior. We show that such a
prior provides significant improvements over existing methods, especially on
low SNR PSFs.
","[u'astrophysics - instrumentation and methods for astrophysics', u'computer science - computer vision and pattern recognition']",7626,991,8600,8600,8912,8600,8912,5930,7626,7626
14010,$Z_b$ and $Z_c$ Exotic States as Coupled Channel Cusps,"  It is demonstrated that the candidate tetraquark states $Z_b(10610)$,
$Z_b(10650)$, $Z_c(3900)$, and $Z_c(4025)$ are coupled channel cusp effects.
The model explains in a natural way the masses and quantum numbers of the
putative states and the near equality of the widths of the $Z_b$ states. It is
argued that the $Z_c(3900)$ and $Z_c(4025)$ should be visible in $\bar B^0 \to
J/\psi \pi^0\pi^0$ or $B^- \to J/\psi \pi^- \pi^0$, but should {\it not} appear
in $\bar B^0 \to J/\psi \pi^+\pi^-$, in agreement with recent LHCb results.
Additional tests for cusp effects are suggested.
","$Z_b$ and $Z_c$ Exotic States as Coupled Channel Cusps   It is demonstrated that the candidate tetraquark states $Z_b(10610)$,
$Z_b(10650)$, $Z_c(3900)$, and $Z_c(4025)$ are coupled channel cusp effects.
The model explains in a natural way the masses and quantum numbers of the
putative states and the near equality of the widths of the $Z_b$ states. It is
argued that the $Z_c(3900)$ and $Z_c(4025)$ should be visible in $\bar B^0 \to
J/\psi \pi^0\pi^0$ or $B^- \to J/\psi \pi^- \pi^0$, but should {\it not} appear
in $\bar B^0 \to J/\psi \pi^+\pi^-$, in agreement with recent LHCb results.
Additional tests for cusp effects are suggested.
",[u'high energy physics - phenomenology'],7626,7626,7626,7626,7626,9268,7626,7626,7626,7626
14011,"Wind mass transfer in S-type symbiotic binaries I. Focusing by the wind
  compression model","  Context: Luminosities of hot components in symbiotic binaries require
accretion rates that are higher than those that can be achieved via a standard
Bondi-Hoyle accretion. This implies that the wind mass transfer in symbiotic
binaries has to be more efficient.
  Aims: We suggest that the accretion rate onto the white dwarfs (WDs) in
S-type symbiotic binaries can be enhanced sufficiently by focusing the wind
from their slowly rotating normal giants towards the binary orbital plane.
  Methods: We applied the wind compression model to the stellar wind of slowly
rotating red giants in S-type symbiotic binaries.
  Results: Our analysis reveals that for typical terminal velocities of the
giant wind, 20 to 50 km/s, and measured rotational velocities between 6 and 10
km/s, the densities of the compressed wind at a typical distance of the
accretor from its donor correspond to the mass-loss rate, which can be a factor
of $\sim$10 higher than for the spherically symmetric wind. This allows the WD
to accrete at rates of $10^{-8} - 10^{-7}$ M(Sun)/year, and thus to power its
luminosity.
  Conclusions: We show that the high wind-mass-transfer efficiency in S-type
symbiotic stars can be caused by compression of the wind from their slowly
rotating normal giants, whereas in D-type symbiotic stars, the high mass
transfer ratio can be achieved via the gravitational focusing, which has
recently been suggested for very slow winds in Mira-type binaries.
","Wind mass transfer in S-type symbiotic binaries I. Focusing by the wind
  compression model   Context: Luminosities of hot components in symbiotic binaries require
accretion rates that are higher than those that can be achieved via a standard
Bondi-Hoyle accretion. This implies that the wind mass transfer in symbiotic
binaries has to be more efficient.
  Aims: We suggest that the accretion rate onto the white dwarfs (WDs) in
S-type symbiotic binaries can be enhanced sufficiently by focusing the wind
from their slowly rotating normal giants towards the binary orbital plane.
  Methods: We applied the wind compression model to the stellar wind of slowly
rotating red giants in S-type symbiotic binaries.
  Results: Our analysis reveals that for typical terminal velocities of the
giant wind, 20 to 50 km/s, and measured rotational velocities between 6 and 10
km/s, the densities of the compressed wind at a typical distance of the
accretor from its donor correspond to the mass-loss rate, which can be a factor
of $\sim$10 higher than for the spherically symmetric wind. This allows the WD
to accrete at rates of $10^{-8} - 10^{-7}$ M(Sun)/year, and thus to power its
luminosity.
  Conclusions: We show that the high wind-mass-transfer efficiency in S-type
symbiotic stars can be caused by compression of the wind from their slowly
rotating normal giants, whereas in D-type symbiotic stars, the high mass
transfer ratio can be achieved via the gravitational focusing, which has
recently been suggested for very slow winds in Mira-type binaries.
",[u'astrophysics - solar and stellar astrophysics'],7626,7626,7626,7626,7626,8600,8600,2092,7626,5930
